LHD,Period,Per cent,LL 95% CI,UL 95% CI
Northern NSW LHD,2007,10.8,7.8,13.7
Northern NSW LHD,2008,10.6,7.9,13.3
Northern NSW LHD,2009,13,10.6,15.4
Northern NSW LHD,2010,11.5,9.2,13.7
Northern NSW LHD,2011,10,7.6,12.4
Northern NSW LHD,2012,12.4,8.9,15.9
Northern NSW LHD,2013,11.2,7.8,14.5
Northern NSW LHD,2014,13.1,8.2,17.9
Northern NSW LHD,2015,6.1,3.9,8.4
Northern NSW LHD,2016,10.8,6.1,15.5
Northern NSW LHD,2017,8.3,5,11.6
Northern NSW LHD,2018,10.2,5.5,14.9
Northern NSW LHD,2019,8.7,5.2,12.2
Northern NSW LHD,2020,12,5,19
Northern NSW LHD,2021,7.7,4.8,10.6
Northern NSW LHD,2022,4.7,2.7,6.6
Northern NSW LHD,2023,9.7,6.8,12.7
Mid North Coast LHD,2002,10,7.1,12.9
Mid North Coast LHD,2003,10.3,7.9,12.7
Mid North Coast LHD,2004,7.8,5.1,10.5
Mid North Coast LHD,2005,8.4,6.4,10.3
Mid North Coast LHD,2006,9.5,6.6,12.3
Mid North Coast LHD,2007,11,7.9,14.1
Mid North Coast LHD,2008,12.4,9.4,15.4
Mid North Coast LHD,2009,12.4,6.7,18
Mid North Coast LHD,2010,11.9,9.1,14.6
Mid North Coast LHD,2011,11.2,8.7,13.7
Mid North Coast LHD,2012,11.1,8,14.1
Mid North Coast LHD,2013,9.5,6.4,12.6
Mid North Coast LHD,2014,10.6,7,14.1
Mid North Coast LHD,2015,6.6,4.1,9.2
Mid North Coast LHD,2016,7,4.6,9.5
Mid North Coast LHD,2017,7.5,4.2,10.9
Mid North Coast LHD,2018,8,4.3,11.7
Mid North Coast LHD,2019,4,1.9,6.2
Mid North Coast LHD,2020,5.4,1.2,9.6
Mid North Coast LHD,2021,9.3,5.8,12.7
Mid North Coast LHD,2022,8,4.3,11.7
Mid North Coast LHD,2023,6.1,3.3,8.9
Southern NSW LHD,2002,8.4,6.3,10.5
Southern NSW LHD,2003,8.1,5.9,10.3
Southern NSW LHD,2004,7.8,5.5,10.1
Southern NSW LHD,2005,7.7,5.5,9.9
Southern NSW LHD,2006,8.2,5.4,10.9
Southern NSW LHD,2007,11.7,8.2,15.2
Southern NSW LHD,2008,9.3,6.6,12
Southern NSW LHD,2009,9.5,7.1,11.9
Southern NSW LHD,2010,8.5,5.6,11.3
Southern NSW LHD,2011,9.1,6.7,11.4
Southern NSW LHD,2012,9.1,6.3,11.9
Southern NSW LHD,2013,10.4,5.4,15.4
Southern NSW LHD,2014,9.4,5.3,13.5
Southern NSW LHD,2015,7.6,4,11.3
Southern NSW LHD,2016,7.6,4.6,10.6
Southern NSW LHD,2017,7.2,3.7,10.7
Southern NSW LHD,2018,5.4,3.1,7.7
Southern NSW LHD,2019,3.5,1.5,5.6
Southern NSW LHD,2020,3,0.3,5.7
Southern NSW LHD,2021,6.4,3.9,8.9
Southern NSW LHD,2022,6.2,3.3,9.2
Southern NSW LHD,2023,8.6,5.2,12
Murrumbidgee LHD,2002,5.3,3.8,6.9
Murrumbidgee LHD,2003,8.7,6.6,10.7
Murrumbidgee LHD,2004,8.3,6,10.6
Murrumbidgee LHD,2005,7.9,6,9.7
Murrumbidgee LHD,2006,8.8,6.6,11
Murrumbidgee LHD,2007,11,8.1,13.8
Murrumbidgee LHD,2008,8.3,5.7,10.9
Murrumbidgee LHD,2009,9.5,7.3,11.8
Murrumbidgee LHD,2010,9.7,7.1,12.3
Murrumbidgee LHD,2011,8.2,6.2,10.1
Murrumbidgee LHD,2012,9.3,6.2,12.3
Murrumbidgee LHD,2013,5.7,4.1,7.4
Murrumbidgee LHD,2014,7.9,5.4,10.5
Murrumbidgee LHD,2015,8.1,5.7,10.5
Murrumbidgee LHD,2016,4,2.3,5.7
