Smoking status,LHD,Period,Per cent,LL 95% CI,UL 95% CI
Never smoked,South Eastern Sydney LHD,2004-2005,47.2,43.9,50.5
Never smoked,South Eastern Sydney LHD,2005-2006,48.6,45.4,51.8
Never smoked,South Eastern Sydney LHD,2006-2007,48.7,45,52.4
Never smoked,South Eastern Sydney LHD,2007-2008,46.3,42.7,49.9
Never smoked,South Eastern Sydney LHD,2008-2009,47,43.6,50.4
Never smoked,South Eastern Sydney LHD,2009-2010,51.1,47.4,54.8
Never smoked,South Eastern Sydney LHD,2010-2011,52.4,48.6,56.2
Never smoked,South Eastern Sydney LHD,2011-2012,52,48.3,55.6
Never smoked,South Eastern Sydney LHD,2012-2013,54.3,50.8,57.8
Never smoked,South Eastern Sydney LHD,2013-2014,53.8,50.7,57
Never smoked,South Eastern Sydney LHD,2014-2015,56.6,53.1,60.1
Never smoked,South Eastern Sydney LHD,2015-2016,58.9,55.6,62.2
Never smoked,South Eastern Sydney LHD,2016-2017,52,49.1,54.9
Never smoked,South Eastern Sydney LHD,2017-2018,51.2,48.2,54.2
Never smoked,South Eastern Sydney LHD,2018-2019,54.6,51.4,57.8
Never smoked,South Eastern Sydney LHD,2019-2020,54.3,51,57.7
Never smoked,South Eastern Sydney LHD,2020-2021,54,50.8,57.2
Never smoked,South Eastern Sydney LHD,2021-2022,52.9,49.8,55.9
Never smoked,South Eastern Sydney LHD,2022-2023,53.7,50.7,56.7
Never smoked,Illawarra Shoalhaven LHD,2002-2003,38.6,35.9,41.3
Never smoked,Illawarra Shoalhaven LHD,2003-2004,39.2,36.2,42.2
Never smoked,Illawarra Shoalhaven LHD,2004-2005,39.7,35.8,43.5
Never smoked,Illawarra Shoalhaven LHD,2005-2006,42.8,38.3,47.2
Never smoked,Illawarra Shoalhaven LHD,2006-2007,44.8,40.2,49.4
Never smoked,Illawarra Shoalhaven LHD,2007-2008,45.1,40.9,49.2
Never smoked,Illawarra Shoalhaven LHD,2008-2009,46.4,42.3,50.5
Never smoked,Illawarra Shoalhaven LHD,2009-2010,44.7,40.6,48.8
Never smoked,Illawarra Shoalhaven LHD,2010-2011,44,40.3,47.6
Never smoked,Illawarra Shoalhaven LHD,2011-2012,44.8,41.3,48.2
Never smoked,Illawarra Shoalhaven LHD,2012-2013,45.7,42.1,49.3
Never smoked,Illawarra Shoalhaven LHD,2013-2014,44.5,40.9,48.2
Never smoked,Illawarra Shoalhaven LHD,2014-2015,45.9,41.5,50.4
Never smoked,Illawarra Shoalhaven LHD,2015-2016,49.5,45.1,53.9
Never smoked,Illawarra Shoalhaven LHD,2016-2017,49.4,45.4,53.4
Never smoked,Illawarra Shoalhaven LHD,2017-2018,50.8,46.8,54.7
Never smoked,Illawarra Shoalhaven LHD,2018-2019,53.5,49.3,57.7
Never smoked,Illawarra Shoalhaven LHD,2019-2020,50.9,45.8,56
Never smoked,Illawarra Shoalhaven LHD,2020-2021,49.3,44.6,54
Never smoked,Illawarra Shoalhaven LHD,2021-2022,52,48.5,55.5
Never smoked,Illawarra Shoalhaven LHD,2022-2023,51.3,47.8,54.8
Never smoked,Western Sydney LHD,2002-2003,44.8,41.9,47.7
Never smoked,Western Sydney LHD,2003-2004,45.1,42.1,48.1
Never smoked,Western Sydney LHD,2004-2005,45.8,42.9,48.7
Never smoked,Western Sydney LHD,2005-2006,47.9,45,50.8
Never smoked,Western Sydney LHD,2006-2007,50,46.7,53.3
Never smoked,Western Sydney LHD,2007-2008,51.4,48.1,54.7
Never smoked,Western Sydney LHD,2008-2009,51.4,48.4,54.4
Never smoked,Western Sydney LHD,2009-2010,52.1,49.2,55
Never smoked,Western Sydney LHD,2010-2011,56.9,53.8,59.9
Never smoked,Western Sydney LHD,2011-2012,58.1,54,62.2
Never smoked,Western Sydney LHD,2012-2013,57.4,53.5,61.2
Never smoked,Western Sydney LHD,2013-2014,59.2,56.6,61.9
Never smoked,Western Sydney LHD,2014-2015,64.7,61.1,68.3
Never smoked,Western Sydney LHD,2015-2016,66,62.4,69.5
Never smoked,Western Sydney LHD,2016-2017,60.3,57.5,63.1
Never smoked,Western Sydney LHD,2017-2018,61.2,58.5,64
Never smoked,Western Sydney LHD,2018-2019,60.4,57.3,63.5
Never smoked,Western Sydney LHD,2019-2020,58.9,55.6,62.3
Never smoked,Western Sydney LHD,2020-2021,60.8,57.6,63.9
Never smoked,Western Sydney LHD,2021-2022,59.9,56.9,62.9
Never smoked,Western Sydney LHD,2022-2023,59.3,56.4,62.3
Never smoked,Nepean Blue Mountains LHD,2002-2003,39.7,36.9,42.4
Never smoked,Nepean Blue Mountains LHD,2003-2004,41.9,38.9,44.9
Never smoked,Nepean Blue Mountains LHD,2004-2005,44.4,41,47.9
Never smoked,Nepean Blue Mountains LHD,2005-2006,45.7,41.4,50.1
Never smoked,Nepean Blue Mountains LHD,2006-2007,42.6,37.6,47.5
Never smoked,Nepean Blue Mountains LHD,2007-2008,44.1,39.7,48.5
Never smoked,Nepean Blue Mountains LHD,2008-2009,48,43.8,52.3
Never smoked,Nepean Blue Mountains LHD,2009-2010,48.4,44,52.7
Never smoked,Nepean Blue Mountains LHD,2010-2011,49.6,45.5,53.8
Never smoked,Nepean Blue Mountains LHD,2011-2012,47.4,43.9,51
Never smoked,Nepean Blue Mountains LHD,2012-2013,45,41.4,48.5
Never smoked,Nepean Blue Mountains LHD,2013-2014,46.4,42.5,50.2
Never smoked,Nepean Blue Mountains LHD,2014-2015,49,44.3,53.6
Never smoked,Nepean Blue Mountains LHD,2015-2016,52.1,47.4,56.8
Never smoked,Nepean Blue Mountains LHD,2016-2017,50.7,46.6,54.9
Never smoked,Nepean Blue Mountains LHD,2017-2018,51.8,47.7,55.8
Never smoked,Nepean Blue Mountains LHD,2018-2019,53.4,48.8,58
Never smoked,Nepean Blue Mountains LHD,2019-2020,51.3,46,56.6
Never smoked,Nepean Blue Mountains LHD,2020-2021,51.4,46.6,56.1
Never smoked,Nepean Blue Mountains LHD,2021-2022,52,48.3,55.7
Never smoked,Nepean Blue Mountains LHD,2022-2023,49.9,46.2,53.7
Never smoked,Northern Sydney LHD,2002-2003,43.2,40.4,46.1
Never smoked,Northern Sydney LHD,2003-2004,43.8,40.6,47
Never smoked,Northern Sydney LHD,2004-2005,48.2,45.1,51.4
Never smoked,Northern Sydney LHD,2005-2006,50.3,47.5,53.2
Never smoked,Northern Sydney LHD,2006-2007,53,49.8,56.2
Never smoked,Northern Sydney LHD,2007-2008,53.6,50.4,56.9
Never smoked,Northern Sydney LHD,2008-2009,51.8,48.8,54.8
Never smoked,Northern Sydney LHD,2009-2010,51.9,49,54.8
Never smoked,Northern Sydney LHD,2010-2011,52.5,49.2,55.9
Never smoked,Northern Sydney LHD,2011-2012,54.5,50.9,58.1
Never smoked,Northern Sydney LHD,2012-2013,54.5,51.4,57.6
Never smoked,Northern Sydney LHD,2013-2014,54.5,51.7,57.3
Never smoked,Northern Sydney LHD,2014-2015,57.9,54.1,61.7
Never smoked,Northern Sydney LHD,2015-2016,59.6,55.9,63.3
Never smoked,Northern Sydney LHD,2016-2017,57.8,55,60.7
Never smoked,Northern Sydney LHD,2017-2018,56.5,53.7,59.4
Never smoked,Northern Sydney LHD,2018-2019,57.9,54.8,60.9
Never smoked,Northern Sydney LHD,2019-2020,58.8,55.4,62.1
Never smoked,Northern Sydney LHD,2020-2021,56.6,53.3,60
Never smoked,Northern Sydney LHD,2021-2022,55.8,52.7,58.9
Never smoked,Northern Sydney LHD,2022-2023,56.1,53.2,59.1
Never smoked,Central Coast LHD,2002-2003,40.2,37.2,43.1
Never smoked,Central Coast LHD,2003-2004,37.9,34.8,41
Never smoked,Central Coast LHD,2004-2005,39.4,35.7,43
Never smoked,Central Coast LHD,2005-2006,43.9,39.4,48.4
Never smoked,Central Coast LHD,2006-2007,47.6,42,53.1
Never smoked,Central Coast LHD,2007-2008,42.6,37.2,48
Never smoked,Central Coast LHD,2008-2009,38.8,34.5,43.1
Never smoked,Central Coast LHD,2009-2010,41.9,37.4,46.5
Never smoked,Central Coast LHD,2010-2011,42.7,38.6,46.9
Never smoked,Central Coast LHD,2011-2012,40.6,37,44.1
Never smoked,Central Coast LHD,2012-2013,43.2,39.4,46.9
Never smoked,Central Coast LHD,2013-2014,43.8,39.6,48
Never smoked,Central Coast LHD,2014-2015,43,38.4,47.6
Never smoked,Central Coast LHD,2015-2016,43.5,38.9,48.1
Never smoked,Central Coast LHD,2016-2017,43.5,39.1,48
Never smoked,Central Coast LHD,2017-2018,44.3,39.7,48.9
Never smoked,Central Coast LHD,2018-2019,45.7,40.8,50.5
Never smoked,Central Coast LHD,2019-2020,47.4,42.2,52.7
Never smoked,Central Coast LHD,2020-2021,45.4,40.5,50.2
Never smoked,Central Coast LHD,2021-2022,41.8,38,45.7
Never smoked,Central Coast LHD,2022-2023,43.6,39.9,47.3
Never smoked,Hunter New England LHD,2002-2003,39,36.9,41
Never smoked,Hunter New England LHD,2003-2004,41.2,39.2,43.2
Never smoked,Hunter New England LHD,2004-2005,42.6,40.6,44.7
Never smoked,Hunter New England LHD,2005-2006,42.7,40.4,45
Never smoked,Hunter New England LHD,2006-2007,44.8,42.2,47.4
Never smoked,Hunter New England LHD,2007-2008,45.3,42.7,47.9
Never smoked,Hunter New England LHD,2008-2009,45,42.6,47.4
Never smoked,Hunter New England LHD,2009-2010,45,42.6,47.4
Never smoked,Hunter New England LHD,2010-2011,44.8,41.7,47.9
Never smoked,Hunter New England LHD,2011-2012,42.2,37.9,46.5
Never smoked,Hunter New England LHD,2012-2013,42.4,38.4,46.4
Never smoked,Hunter New England LHD,2013-2014,47.4,44.4,50.4
Never smoked,Hunter New England LHD,2014-2015,49.2,45.6,52.8
Never smoked,Hunter New England LHD,2015-2016,50.3,46.7,54
Never smoked,Hunter New England LHD,2016-2017,48.8,45.8,51.8
Never smoked,Hunter New England LHD,2017-2018,47.9,44.9,50.8
Never smoked,Hunter New England LHD,2018-2019,49.1,46.1,52.2
Never smoked,Hunter New England LHD,2019-2020,47.6,44.2,51
Never smoked,Hunter New England LHD,2020-2021,46.1,42.8,49.4
Never smoked,Hunter New England LHD,2021-2022,48.4,45.4,51.4
Never smoked,Hunter New England LHD,2022-2023,48.4,45.3,51.6
Never smoked,Northern NSW LHD,2002-2003,34,31.5,36.6
Never smoked,Northern NSW LHD,2003-2004,33,30.4,35.6
Never smoked,Northern NSW LHD,2004-2005,37.2,34.5,39.9
Never smoked,Northern NSW LHD,2005-2006,37.9,35,40.9
Never smoked,Northern NSW LHD,2006-2007,36.7,33.3,40
Never smoked,Northern NSW LHD,2007-2008,41.5,38,44.9
Never smoked,Northern NSW LHD,2008-2009,41.5,38.3,44.6
Never smoked,Northern NSW LHD,2009-2010,38.7,35.9,41.5
Never smoked,Northern NSW LHD,2010-2011,41,37.9,44
Never smoked,Northern NSW LHD,2011-2012,40.9,37.5,44.2
Never smoked,Northern NSW LHD,2012-2013,36.3,32.8,39.8
Never smoked,Northern NSW LHD,2013-2014,38.5,34.6,42.5
Never smoked,Northern NSW LHD,2014-2015,44.8,40.4,49.3
Never smoked,Northern NSW LHD,2015-2016,43.6,38.8,48.5
Never smoked,Northern NSW LHD,2016-2017,40.2,35.4,45
Never smoked,Northern NSW LHD,2017-2018,41.4,36.9,45.9
Never smoked,Northern NSW LHD,2018-2019,46.4,41.5,51.3
Never smoked,Northern NSW LHD,2019-2020,47.1,41.3,53
Never smoked,Northern NSW LHD,2020-2021,41.3,36,46.6
Never smoked,Northern NSW LHD,2021-2022,39.4,35.6,43.2
Never smoked,Northern NSW LHD,2022-2023,39.4,35.6,43.2
Never smoked,Mid North Coast LHD,2002-2003,33.2,30,36.4
Never smoked,Mid North Coast LHD,2003-2004,34.7,31.3,38.2
Never smoked,Mid North Coast LHD,2004-2005,40,36.5,43.4
Never smoked,Mid North Coast LHD,2005-2006,39.9,36.5,43.4
Never smoked,Mid North Coast LHD,2006-2007,37.8,33.9,41.7
Never smoked,Mid North Coast LHD,2007-2008,38.6,34.9,42.4
Never smoked,Mid North Coast LHD,2008-2009,38.3,34.7,41.9
Never smoked,Mid North Coast LHD,2009-2010,38.8,35.3,42.3
Never smoked,Mid North Coast LHD,2010-2011,40.4,37,43.7
Never smoked,Mid North Coast LHD,2011-2012,40.8,37.1,44.5
Never smoked,Mid North Coast LHD,2012-2013,43.3,39,47.6
Never smoked,Mid North Coast LHD,2013-2014,42,37.6,46.4
Never smoked,Mid North Coast LHD,2014-2015,39.1,33.5,44.7
Never smoked,Mid North Coast LHD,2015-2016,43.9,37.9,49.8
Never smoked,Mid North Coast LHD,2016-2017,44.4,39.4,49.5
Never smoked,Mid North Coast LHD,2017-2018,44.2,39.2,49.1
Never smoked,Mid North Coast LHD,2018-2019,44.3,38.8,49.8
Never smoked,Mid North Coast LHD,2019-2020,42.5,36.6,48.3
Never smoked,Mid North Coast LHD,2020-2021,43.8,38.6,49
Never smoked,Mid North Coast LHD,2021-2022,44.6,40.2,49
Never smoked,Mid North Coast LHD,2022-2023,44.2,39.8,48.6
Never smoked,Southern NSW LHD,2002-2003,34.7,31.8,37.6
Never smoked,Southern NSW LHD,2003-2004,33.2,30.1,36.2
Never smoked,Southern NSW LHD,2004-2005,37.7,34.2,41.1
Never smoked,Southern NSW LHD,2005-2006,40.1,36.1,44.2
Never smoked,Southern NSW LHD,2006-2007,40.4,35.6,45.1
Never smoked,Southern NSW LHD,2007-2008,39.7,35.2,44.1
Never smoked,Southern NSW LHD,2008-2009,39.7,35.8,43.7
Never smoked,Southern NSW LHD,2009-2010,40.5,36.4,44.6
Never smoked,Southern NSW LHD,2010-2011,43.6,39.6,47.6
Never smoked,Southern NSW LHD,2011-2012,44.9,40.7,49
Never smoked,Southern NSW LHD,2012-2013,43.1,38.4,47.8
Never smoked,Southern NSW LHD,2013-2014,43.9,39,48.8
Never smoked,Southern NSW LHD,2014-2015,47.5,42.7,52.3
Never smoked,Southern NSW LHD,2015-2016,47.6,42.5,52.6
Never smoked,Southern NSW LHD,2016-2017,45.2,39.8,50.6
Never smoked,Southern NSW LHD,2017-2018,43.6,38.7,48.6
Never smoked,Southern NSW LHD,2018-2019,44.2,39.2,49.2
Never smoked,Southern NSW LHD,2019-2020,42.6,36.7,48.4
Never smoked,Southern NSW LHD,2020-2021,41,35.6,46.4
Never smoked,Southern NSW LHD,2021-2022,43.4,39.1,47.6
Never smoked,Southern NSW LHD,2022-2023,44.9,40.7,49.1
Never smoked,Murrumbidgee LHD,2002-2003,38.3,35.6,41
Never smoked,Murrumbidgee LHD,2003-2004,40.5,37.5,43.5
Never smoked,Murrumbidgee LHD,2004-2005,41.3,38.3,44.3
Never smoked,Murrumbidgee LHD,2005-2006,44.8,41.6,48.1
Never smoked,Murrumbidgee LHD,2006-2007,45.3,41.5,49.1
Never smoked,Murrumbidgee LHD,2007-2008,44.1,40.4,47.7
Never smoked,Murrumbidgee LHD,2008-2009,44.4,41,47.7
Never smoked,Murrumbidgee LHD,2009-2010,42.7,39.5,46
Never smoked,Murrumbidgee LHD,2010-2011,44.4,41.2,47.6
Never smoked,Murrumbidgee LHD,2011-2012,43.6,39.6,47.7
Never smoked,Murrumbidgee LHD,2012-2013,42.7,38.4,47.1
Never smoked,Murrumbidgee LHD,2013-2014,45.1,41.1,49.1
Never smoked,Murrumbidgee LHD,2014-2015,45.8,41.9,49.7
Never smoked,Murrumbidgee LHD,2015-2016,46.3,41.9,50.8
Never smoked,Murrumbidgee LHD,2016-2017,47.6,42.8,52.5
Never smoked,Murrumbidgee LHD,2017-2018,48.9,44.4,53.4
Never smoked,Murrumbidgee LHD,2018-2019,49.1,44.3,53.8
Never smoked,Murrumbidgee LHD,2019-2020,45.5,40.2,50.9
Never smoked,Murrumbidgee LHD,2020-2021,45,40.3,49.8
Never smoked,Murrumbidgee LHD,2021-2022,47.6,43.7,51.5
Never smoked,Murrumbidgee LHD,2022-2023,45.9,42,49.9
Never smoked,Western NSW LHD,2002-2003,38,36,39.9
Never smoked,Western NSW LHD,2003-2004,38.4,36.4,40.5
Never smoked,Western NSW LHD,2004-2005,41.8,39.6,44
Never smoked,Western NSW LHD,2005-2006,42.3,39.7,44.9
Never smoked,Western NSW LHD,2006-2007,41.4,38.3,44.5
Never smoked,Western NSW LHD,2007-2008,41.8,38.9,44.8
Never smoked,Western NSW LHD,2008-2009,41.9,39.3,44.5
Never smoked,Western NSW LHD,2009-2010,42.4,39.8,45
Never smoked,Western NSW LHD,2010-2011,45.6,42.2,48.9
Never smoked,Western NSW LHD,2011-2012,46.1,42.2,50
Never smoked,Western NSW LHD,2012-2013,42.3,38.5,46.1
Never smoked,Western NSW LHD,2013-2014,43.8,39.6,48
Never smoked,Western NSW LHD,2014-2015,45.6,41.3,50
Never smoked,Western NSW LHD,2015-2016,44.3,39.7,49
Never smoked,Western NSW LHD,2016-2017,44.2,39.5,48.9
Never smoked,Western NSW LHD,2017-2018,48,43.1,52.8
Never smoked,Western NSW LHD,2018-2019,48.7,43.5,53.9
Never smoked,Western NSW LHD,2019-2020,50,44.1,56
Never smoked,Western NSW LHD,2020-2021,49.9,44.3,55.4
Never smoked,Western NSW LHD,2021-2022,44.9,40.8,49.1
Never smoked,Western NSW LHD,2022-2023,44.1,40,48.1
Never smoked,Far West LHD,2002-2003,37.8,34.4,41.1
Never smoked,Far West LHD,2003-2004,37.4,34,40.8
Never smoked,Far West LHD,2004-2005,44.1,38.8,49.5
Never smoked,Far West LHD,2005-2006,44.7,37.5,51.8
Never smoked,Far West LHD,2006-2007,40.5,32.5,48.5
Never smoked,Far West LHD,2007-2008,41.4,32.9,49.9
Never smoked,Far West LHD,2008-2009,39.4,31.4,47.4
Never smoked,Far West LHD,2009-2010,42.3,33.9,50.7
Never smoked,Far West LHD,2010-2011,43.2,36.6,49.8
Never smoked,Far West LHD,2011-2012,42.1,38,46.2
Never smoked,Far West LHD,2012-2013,44.4,39,49.8
Never smoked,Far West LHD,2013-2014,44,38.1,49.8
Never smoked,Far West LHD,2014-2015,47.5,42.2,52.8
Never smoked,Far West LHD,2015-2016,48.1,42.5,53.7
Never smoked,Far West LHD,2016-2017,45.7,39.9,51.5
Never smoked,Far West LHD,2017-2018,48.2,42,54.5
Never smoked,Far West LHD,2018-2019,43.1,36.8,49.3
Never smoked,Far West LHD,2019-2020,43.8,37,50.6
Never smoked,Far West LHD,2020-2021,45.3,37.6,52.9
Never smoked,Far West LHD,2021-2022,42.7,35.6,49.8
Never smoked,Far West LHD,2022-2023,45,37.9,52.2
Never smoked,All LHDs,2002-2003,41,40.2,41.9
Never smoked,All LHDs,2003-2004,41.3,40.4,42.1
Never smoked,All LHDs,2004-2005,44,43.1,44.9
Never smoked,All LHDs,2005-2006,46,45.1,46.9
Never smoked,All LHDs,2006-2007,46.7,45.6,47.7
Never smoked,All LHDs,2007-2008,46.8,45.7,47.8
Never smoked,All LHDs,2008-2009,46.7,45.8,47.7
Never smoked,All LHDs,2009-2010,47.3,46.3,48.2
Never smoked,All LHDs,2010-2011,48.6,47.6,49.6
Never smoked,All LHDs,2011-2012,49.2,48,50.5
Never smoked,All LHDs,2012-2013,49.6,48.5,50.8
Never smoked,All LHDs,2013-2014,50.5,49.6,51.5
Never smoked,All LHDs,2014-2015,53.2,52,54.3
Never smoked,All LHDs,2015-2016,54.5,53.4,55.7
Never smoked,All LHDs,2016-2017,51.9,51,52.9
Never smoked,All LHDs,2017-2018,51.6,50.6,52.6
Never smoked,All LHDs,2018-2019,52.6,51.6,53.7
Never smoked,All LHDs,2019-2020,52.6,51.4,53.7
Never smoked,All LHDs,2020-2021,52.2,51.1,53.3
Never smoked,All LHDs,2021-2022,51.9,50.9,52.8
Never smoked,All LHDs,2022-2023,51.6,50.7,52.6
