Electronic cigarette use,LHD,Period,Per cent,LL 95% CI,UL 95% CI
Current user,South Western Sydney LHD,2019-2020,1.2,0.4,2
Current user,South Western Sydney LHD,2020-2021,3.3,2.1,4.4
Current user,South Western Sydney LHD,2021-2022,5.9,4.4,7.4
Current user,South Western Sydney LHD,2022-2023,8.1,6.4,9.8
Current user,South Eastern Sydney LHD,2014-2015,1.2,0.6,1.9
Current user,South Eastern Sydney LHD,2015-2016,0.8,0.3,1.3
Current user,South Eastern Sydney LHD,2016-2017,1.1,0.5,1.7
Current user,South Eastern Sydney LHD,2017-2018,1.6,0.7,2.4
Current user,South Eastern Sydney LHD,2018-2019,2.7,1.5,4
Current user,South Eastern Sydney LHD,2019-2020,3.6,2.2,5
Current user,South Eastern Sydney LHD,2020-2021,4.7,3.2,6.1
Current user,South Eastern Sydney LHD,2021-2022,6.8,5.2,8.3
Current user,South Eastern Sydney LHD,2022-2023,8.4,6.7,10.1
Current user,Illawarra Shoalhaven LHD,2014-2015,0.9,0,1.8
Current user,Illawarra Shoalhaven LHD,2015-2016,1.2,0.3,2.2
Current user,Illawarra Shoalhaven LHD,2016-2017,1.6,0.4,2.8
Current user,Illawarra Shoalhaven LHD,2017-2018,1.3,0.2,2.5
Current user,Illawarra Shoalhaven LHD,2018-2019,0.9,0.2,1.6
Current user,Illawarra Shoalhaven LHD,2019-2020,0.9,0.2,1.6
Current user,Illawarra Shoalhaven LHD,2020-2021,3.1,1.8,4.5
Current user,Illawarra Shoalhaven LHD,2021-2022,5.5,3.9,7.2
Current user,Illawarra Shoalhaven LHD,2022-2023,7.9,5.4,10.5
Current user,Western Sydney LHD,2014-2015,0.8,0.4,1.2
Current user,Western Sydney LHD,2015-2016,0.8,0.3,1.3
Current user,Western Sydney LHD,2016-2017,1,0.4,1.6
Current user,Western Sydney LHD,2017-2018,1.3,0.6,2.1
Current user,Western Sydney LHD,2018-2019,1.6,0.8,2.5
Current user,Western Sydney LHD,2019-2020,1.9,1,2.8
Current user,Western Sydney LHD,2020-2021,3.9,2.6,5.3
Current user,Western Sydney LHD,2021-2022,6.3,4.8,7.9
Current user,Western Sydney LHD,2022-2023,8.2,6.5,9.9
Current user,Nepean Blue Mountains LHD,2014-2015,0.9,0.2,1.6
Current user,Nepean Blue Mountains LHD,2015-2016,1.6,0.6,2.6
Current user,Nepean Blue Mountains LHD,2016-2017,1.4,0.4,2.3
Current user,Nepean Blue Mountains LHD,2017-2018,1.7,0.5,2.8
Current user,Nepean Blue Mountains LHD,2018-2019,1.8,0.7,2.8
Current user,Nepean Blue Mountains LHD,2019-2020,2.2,0.5,3.9
Current user,Nepean Blue Mountains LHD,2020-2021,5.4,3,7.7
Current user,Nepean Blue Mountains LHD,2021-2022,6.7,4.6,8.8
Current user,Nepean Blue Mountains LHD,2022-2023,7.7,5.5,9.9
Current user,Northern Sydney LHD,2014-2015,0.6,0.1,1
Current user,Northern Sydney LHD,2015-2016,1,0.4,1.6
Current user,Northern Sydney LHD,2016-2017,0.9,0.3,1.4
Current user,Northern Sydney LHD,2017-2018,0.8,0.3,1.3
Current user,Northern Sydney LHD,2018-2019,1.2,0.5,1.8
Current user,Northern Sydney LHD,2019-2020,1.4,0.7,2.2
Current user,Northern Sydney LHD,2020-2021,3.7,2,5.4
Current user,Northern Sydney LHD,2021-2022,5.6,3.7,7.5
Current user,Northern Sydney LHD,2022-2023,7.3,5.5,9.2
Current user,Central Coast LHD,2014-2015,1.5,0,3.2
Current user,Central Coast LHD,2015-2016,0.8,0.2,1.4
Current user,Central Coast LHD,2016-2017,1.8,0.6,3
Current user,Central Coast LHD,2017-2018,2.1,0.7,3.5
Current user,Central Coast LHD,2018-2019,2.2,0.2,4.1
Current user,Central Coast LHD,2019-2020,3.6,1.1,6.2
Current user,Central Coast LHD,2020-2021,6.8,4.1,9.6
Current user,Central Coast LHD,2021-2022,8.1,5.5,10.7
Current user,Central Coast LHD,2022-2023,7.6,5.4,9.9
Current user,Hunter New England LHD,2014-2015,0.7,0.1,1.3
Current user,Hunter New England LHD,2015-2016,0.6,0.1,1.1
Current user,Hunter New England LHD,2016-2017,1.2,0.5,1.9
Current user,Hunter New England LHD,2017-2018,1.2,0.6,1.8
Current user,Hunter New England LHD,2018-2019,1.8,0.9,2.6
Current user,Hunter New England LHD,2019-2020,2.4,1.3,3.5
Current user,Hunter New England LHD,2020-2021,3.3,2.1,4.5
Current user,Hunter New England LHD,2021-2022,4.7,3.5,6
Current user,Hunter New England LHD,2022-2023,6.1,4.7,7.5
Current user,Northern NSW LHD,2014-2015,0.6,0.2,1
Current user,Northern NSW LHD,2015-2016,0.5,0,1
Current user,Northern NSW LHD,2016-2017,0.4,0,0.9
Current user,Northern NSW LHD,2017-2018,0.8,0.1,1.6
Current user,Northern NSW LHD,2018-2019,1.5,0.2,2.7
Current user,Northern NSW LHD,2019-2020,1.5,0.1,2.9
Current user,Northern NSW LHD,2020-2021,1.9,0.8,3.1
Current user,Northern NSW LHD,2021-2022,4.1,2.1,6
Current user,Northern NSW LHD,2022-2023,5.4,3.2,7.6
Current user,Mid North Coast LHD,2014-2015,1.8,0,3.8
Current user,Mid North Coast LHD,2015-2016,0.7,0.1,1.2
Current user,Mid North Coast LHD,2016-2017,0.8,0.3,1.4
Current user,Mid North Coast LHD,2017-2018,0.5,0.2,0.8
Current user,Mid North Coast LHD,2018-2019,0.2,0,0.4
Current user,Mid North Coast LHD,2019-2020,0.4,0,0.8
Current user,Mid North Coast LHD,2020-2021,3.2,1.2,5.2
Current user,Mid North Coast LHD,2021-2022,5.9,3.3,8.5
Current user,Mid North Coast LHD,2022-2023,5.9,3.7,8.1
Current user,Southern NSW LHD,2014-2015,1.6,0,3.3
Current user,Southern NSW LHD,2015-2016,0.4,0.1,0.8
Current user,Southern NSW LHD,2016-2017,0.3,0.1,0.5
Current user,Southern NSW LHD,2017-2018,1.3,0.1,2.4
Current user,Southern NSW LHD,2018-2019,2.6,0.4,4.9
Current user,Southern NSW LHD,2019-2020,1.7,0,3.7
Current user,Southern NSW LHD,2020-2021,1.9,0.8,2.9
Current user,Southern NSW LHD,2021-2022,3,1.5,4.6
Current user,Southern NSW LHD,2022-2023,2.9,1.3,4.5
Current user,Murrumbidgee LHD,2014-2015,0.9,0.3,1.4
Current user,Murrumbidgee LHD,2015-2016,1,0.3,1.7
Current user,Murrumbidgee LHD,2016-2017,0.8,0.2,1.5
Current user,Murrumbidgee LHD,2017-2018,0.7,0.1,1.2
Current user,Murrumbidgee LHD,2018-2019,1.1,0,2.3
Current user,Murrumbidgee LHD,2019-2020,0.9,0,1.9
Current user,Murrumbidgee LHD,2020-2021,1.5,0.7,2.3
Current user,Murrumbidgee LHD,2021-2022,3.7,2.1,5.2
Current user,Murrumbidgee LHD,2022-2023,6.1,3.7,8.5
Current user,Western NSW LHD,2014-2015,2.3,0.3,4.3
Current user,Western NSW LHD,2015-2016,1.7,0,3.6
Current user,Western NSW LHD,2016-2017,1.2,0,3
Current user,Western NSW LHD,2017-2018,0.8,0.1,1.5
Current user,Western NSW LHD,2018-2019,1.6,0.6,2.6
Current user,Western NSW LHD,2019-2020,1,0.2,1.9
Current user,Western NSW LHD,2020-2021,1.7,0.2,3.3
Current user,Western NSW LHD,2021-2022,4.2,2,6.3
Current user,Western NSW LHD,2022-2023,5,2.8,7.2
Current user,Far West LHD,2014-2015,2.6,1.1,4.1
Current user,Far West LHD,2015-2016,1.2,0,2.4
Current user,Far West LHD,2016-2017,0.7,0,1.7
Current user,Far West LHD,2017-2018,1.1,0,2.2
Current user,Far West LHD,2018-2019,2.4,0,5
Current user,Far West LHD,2019-2020,5.1,0,11.4
Current user,Far West LHD,2020-2021,4.8,0,10.8
Current user,Far West LHD,2021-2022,4.4,2.2,6.6
Current user,Far West LHD,2022-2023,8.9,2.7,15
Current user,All LHDs,2014-2015,1,0.8,1.2
Current user,All LHDs,2015-2016,0.9,0.7,1
Current user,All LHDs,2016-2017,1,0.8,1.2
Current user,All LHDs,2017-2018,1.3,1,1.5
Current user,All LHDs,2018-2019,1.7,1.4,2
Current user,All LHDs,2019-2020,2,1.6,2.3
Current user,All LHDs,2020-2021,3.8,3.3,4.3
Current user,All LHDs,2021-2022,5.9,5.4,6.4
Current user,All LHDs,2022-2023,7.4,6.9,8
